TimeStamp;AngleElbow;AngleWrist;AngleShoulder;LShoulderElbow;LElbowWrist
295679156;139.0031762;150.1833278;118.2921521;0.209204203;0.241628239
295679171;138.9179458;149.9221036;118.2423996;0.209842564;0.241626938
295679203;139.3350205;148.8520078;118.1637528;0.209907531;0.241585307
295679250;139.1042511;148.8851476;118.2228734;0.209731372;0.241592465
295679281;138.7064847;149.9828649;118.1524226;0.209966943;0.241620599
295679312;139.5323868;150.110181;118.0504258;0.209942092;0.241542424
295679343;141.0930241;155.4949227;117.9896093;0.21008308;0.191219035
295679375;138.9195899;148.4002239;117.9423909;0.209314848;0.241594956
295679406;138.522334;150.4347316;117.9611259;0.209248331;0.241618409
295679453;138.2403704;151.2049694;118.0067464;0.208897059;0.241625958
295679468;137.9842783;151.6426333;117.9522191;0.20897941;0.241642461
295679515;138.1717193;151.266472;117.9641523;0.208932596;0.241620257
295679546;138.1684084;150.6850744;117.8252987;0.210006666;0.24162028
295679578;138.302041;150.3959534;117.8784487;0.208840951;0.241605006
295679609;138.0175408;150.7848431;117.8113771;0.208890943;0.24162525
295679640;137.8844287;151.6984601;117.8679689;0.208411272;0.241624829
295679687;137.8646328;150.5325766;117.7230664;0.210377179;0.241627106
295679703;138.0004278;150.5505025;117.7851507;0.209875973;0.24160714
295679750;137.8066314;151.5002146;117.7927753;0.209693931;0.24161721
295679781;137.9937093;150.9101705;117.7791604;0.209657001;0.241599523
295679812;138.1364942;150.4913485;117.787344;0.209676665;0.241583238
295679859;138.2116968;150.2670292;117.7744359;0.209484062;0.2415745
295679875;138.3737888;149.8638472;117.7124519;0.209355213;0.241561833
295679906;138.4192491;149.7795568;117.6818713;0.209512541;0.241553889
295679937;137.9264455;150.177321;118.3921133;0.209388752;0.241590662
295679984;138.0660172;149.9745783;118.2482063;0.209221862;0.241576322
295680015;138.1707689;149.9862684;118.1774399;0.209071904;0.241562367
295680046;138.2256297;149.9094968;118.1680732;0.209022578;0.241553115
295680078;138.3290598;150.2379173;118.19702;0.208708411;0.241532258
295680125;138.3435743;150.1567043;118.181341;0.208642212;0.241526484
295680140;138.3933115;149.7796037;118.1576477;0.208672753;0.241515861
295680187;138.4361006;149.9303087;118.1248638;0.208692847;0.241508001
295680203;138.1767838;150.6118827;117.9533828;0.209737524;0.241535235
295680250;138.0186381;151.0732858;117.840952;0.210211348;0.24155102
295680281;138.0525579;150.93904;117.8391552;0.210215512;0.241546046
295680312;138.1457542;150.8564739;117.9162329;0.209701291;0.241530576
295680343;138.3471394;150.3117282;117.8303817;0.209971612;0.241516872
295680375;138.3820563;149.9990192;117.8561331;0.210180654;0.241513738
295680406;138.1987599;151.0128524;117.7742395;0.210199291;0.241531317
295680437;138.2762239;150.930291;117.7829308;0.209948735;0.241520118
295680468;138.122955;151.3293047;117.6920937;0.210443745;0.241535359
295680515;137.9965326;151.2527853;117.6159582;0.211396682;0.241549181
295680546;138.102177;150.7708919;117.5593752;0.211606107;0.241543427
295680578;137.8226987;153.0665374;117.5682773;0.211851857;0.241564757
295680609;137.9634484;152.2802084;117.6465957;0.21159141;0.241550025
295680656;137.717669;153.0335797;117.7662462;0.210799087;0.241567519
295680671;137.8465727;152.6930102;117.8592207;0.210439816;0.241554415
295680703;137.9845445;152.1706566;117.8012193;0.210085656;0.241548815
295680750;139.5022563;153.085266;118.7573017;0.208039918;0.213195826
295680781;138.7593655;146.030166;119.352518;0.20671731;0.241482049
295680812;138.826531;145.7714253;119.249283;0.206152674;0.241476366
295680843;139.390611;145.7409548;118.2893214;0.211940479;0.241528024
295680875;141.8353633;152.5679636;117.9294375;0.215358127;0.20720454
295680906;143.9624061;151.6967827;116.5770263;0.219144983;0.201491033
295680953;144.2367712;151.6937761;115.9659796;0.222228398;0.198974744
295680968;143.0221268;158.2880797;115.4003134;0.219587477;0.241469123
295681015;146.2687962;153.0366299;116.0431456;0.219812717;0.19452762
295681046;147.0939129;153.0259198;116.2702263;0.216798641;0.196855271
295681078;147.4337581;153.4726595;115.8627245;0.227265773;0.186556601
295681109;145.1939825;154.534846;116.0749016;0.234794888;0.180793161
295681140;143.8785131;154.477317;117.4850302;0.235400156;0.180146621
295681171;141.9789788;159.3490728;120.5289125;0.232044421;0.180149279
295681218;138.6445182;152.6745546;125.0309445;0.229340216;0.209238845
295681234;132.9772118;150.4994968;128.9732893;0.210086608;0.239893252
295681281;131.6877941;149.996207;128.4587028;0.213538761;0.241350616
295681312;131.5498534;150.6338037;128.4317616;0.212152118;0.241338589
295681343;130.9289059;153.7391123;127.972927;0.211710895;0.241390486
295681390;130.7668944;154.7435316;126.701484;0.214187042;0.24140638
295681406;130.8100977;155.7505768;126.2154887;0.214600758;0.241409818
295681453;130.9528652;148.6286106;125.2274434;0.215706082;0.241407944
295681468;132.5356862;155.4834738;124.1156001;0.217145928;0.199990278
295681515;133.1772157;155.089791;123.1981643;0.220533083;0.195126233
295681546;133.5098518;155.5931942;122.9597541;0.21940964;0.196836613
295681578;135.9958967;156.3308851;123.8507242;0.204048223;0.200071198
295681609;135.7052824;146.7301474;123.8787778;0.201613702;0.241389206
295681640;136.4582231;153.1659846;123.9867208;0.200903634;0.212309149
295681671;136.5662291;153.2084597;124.2218454;0.200481583;0.211688798
295681718;135.4619444;146.7138611;124.3325796;0.200243373;0.241430599
295681750;136.2797755;153.4569525;124.6723514;0.199950753;0.212644154
295681781;136.2875465;153.1905311;125.0164841;0.199969874;0.212318906
295681812;136.3013949;153.6388695;125.301236;0.199839226;0.212169767
295681843;136.2231775;153.7296916;125.8166487;0.200651903;0.21183138
295681875;136.6553582;153.3333803;125.1664995;0.203119201;0.211931139
295681921;137.2865395;153.82503;125.297205;0.202895764;0.202429751
295681953;137.4404112;153.9200806;125.4280748;0.202646383;0.199469539
295681968;137.3079285;152.5896422;125.4880438;0.202469554;0.201425875
295682015;136.531172;147.1452265;125.6947752;0.20301835;0.24139638
295682046;136.8233976;150.5262765;125.7869873;0.202353024;0.218270521
295682093;136.7700506;150.5756076;125.8650525;0.202514456;0.217592436
295682109;136.7126839;151.670009;125.9353602;0.202788955;0.21688914
295682140;136.6589013;152.0492313;126.0668999;0.202890162;0.21634944
295682187;136.528493;151.9597151;126.1990005;0.203140553;0.216022045
